Index,car & license plates img,license plates in txt,vehicle type,vehicle model & other info
1,"['https://img03.platesmania.com/230219/m/20925495.jpg', 'https://img03.platesmania.com/230219/inf/20925495e6182c.png']",40 H 053 PA,MAN TGX,['Россия Оренбургская область']
2,"['https://img03.platesmania.com/230219/m/20925488.jpg', 'https://img03.platesmania.com/230219/inf/2092548809ab9e.png']",50 Z 608 QA,MAN TGX,['Россия Оренбургская область']
3,"['https://img03.platesmania.com/230219/m/20922976.jpg', 'https://img03.platesmania.com/230219/inf/2092297634477f.png']",90 K 280 LA,DAF XF,"['3rd gen (XF105), 2006–2013', '09.2019г.  Россия, Самарская область']"
4,"['https://img03.platesmania.com/230219/m/20920313.jpg', 'https://img03.platesmania.com/230219/inf/2092031317ab82.png']",95 C 120 NA,Ford Transit,['Москва']
5,"['https://img03.platesmania.com/230218/m/20918641.jpg', 'https://img03.platesmania.com/230218/inf/2091864148ab52.png']",30 M 232 OA,Daewoo Nexia,"['1st gen, 1994-2008', '09.2019г.  Россия, Самарская область']"
6,"['https://img03.platesmania.com/230218/m/20918555.jpg', 'https://img03.platesmania.com/230218/inf/20918555ddde7c.png']",80 V 592 NA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
7,"['https://img03.platesmania.com/230218/m/20918532.jpg', 'https://img03.platesmania.com/230218/inf/20918532448193.png']",95 V 339 FA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
8,"['https://img03.platesmania.com/230218/m/20918325.jpg', 'https://img03.platesmania.com/230218/inf/209183254687ba.png']",30 Q 340 RA,Chevrolet Lacetti,"['1st gen Sedan (J200), 2004\xad–2012', '09.2019г.  Россия, Самарская область']"
9,"['https://img03.platesmania.com/230218/m/20918292.jpg', 'https://img03.platesmania.com/230218/inf/20918292a9e129.png']",90 S 235 GA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
10,"['https://img03.platesmania.com/230218/m/20918206.jpg', 'https://img03.platesmania.com/230218/inf/209182067cfec4.png']",90 P 493 HA,Lada (VAZ) Largus,"['R90 Cross (KS0/RS0), 2014\xad–2020', '09.2019г.  Россия, Самарская область']"
11,"['https://img03.platesmania.com/230218/m/20918172.jpg', 'https://img03.platesmania.com/230218/inf/2091817273d840.png']",90 Z 832 LA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
12,"['https://img03.platesmania.com/230218/m/20918153.jpg', 'https://img03.platesmania.com/230218/inf/20918153016d56.png']",95 V 145 GA,Lada (VAZ) Largus,"['R90 Cross (KS0/RS0), 2014\xad–2020', '09.2019г.  Россия, Самарская область']"
13,"['https://img03.platesmania.com/230218/m/20918136.jpg', 'https://img03.platesmania.com/230218/inf/2091813693590b.png']",01 F 164 DB,KIA Sportage,"['4th gen (QL), 2015–2018', 'Республика Казахстан,  Костанайская область,  Трасса А-22. ']"
14,"['https://img03.platesmania.com/230218/m/20915693.jpg', 'https://img03.platesmania.com/230218/inf/20915693d3b466.png']",30 C 492 BB,Mercedes-Benz Vito,"['2nd gen (W639), facelift, 2010–2014', ' Russia, St. Petersburg  First 30 C-BB on 15.02.2023']"
15,"['https://img03.platesmania.com/230218/m/20915647.jpg', 'https://img03.platesmania.com/230218/inf/20915647e4cab3.png']",90 Y 313 KA,Lada (VAZ) Largus,"['R90 Cross (KS0/RS0), 2014\xad–2020', '09.2019г.  Россия, Самарская область']"
16,"['https://img03.platesmania.com/230218/m/20915600.jpg', 'https://img03.platesmania.com/230218/inf/2091560043f47c.png']",40 E 971 WA,Ravon R4,"['Россия, г. Москва,  #Можайский  #13022023 ']"
17,"['https://img03.platesmania.com/230218/m/20915409.jpg', 'https://img03.platesmania.com/230218/inf/209154096bef9d.png']",90 N 779 KA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
18,"['https://img03.platesmania.com/230218/m/20915400.jpg', 'https://img03.platesmania.com/230218/inf/20915400a9763e.png']",90 S 457 GA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
